sample_id,true_label,target_class,direction,budget,operator,full_logit,perturbed_logit,Q,logmel_target_NRMSE,stft_magnitude_target_NRMSE,waveform_gap_vs_OP,magnitude_gap_vs_OP,logmel_gap_vs_OP,phase_gap_vs_original_rad,gl_random_seed
0,0,0,OUT,0.1,OP,-0.02717682719230652,-0.027643784880638123,0.000466957688331604,0.27464598417282104,0.303695410490036,0.0,0.0,0.0,0.0,
0,0,0,OUT,0.1,GL_ORIG64,-0.035429924726486206,-0.035855308175086975,0.00042538344860076904,0.3163258135318756,0.07056114077568054,0.6430400609970093,0.30787786841392517,0.09170376509428024,0.6582252383232117,
0,0,0,OUT,0.1,GL_RAND64,-0.03575552999973297,-0.03613370656967163,0.00037817656993865967,0.31726789474487305,0.06758347898721695,1.4345147609710693,0.31446096301078796,0.09318293631076813,1.566293478012085,42.0
0,0,0,OUT,0.2,OP,-0.02717682719230652,-0.0278317928314209,0.0006549656391143799,0.27469396591186523,0.3037312924861908,0.0,0.0,0.0,0.0,
0,0,0,OUT,0.2,GL_ORIG64,-0.035429924726486206,-0.03603106737136841,0.0006011426448822021,0.3163801431655884,0.07057427614927292,0.643116295337677,0.3079196810722351,0.09171673655509949,0.68902188539505,
0,0,0,OUT,0.2,GL_RAND64,-0.03575552999973297,-0.036300256848335266,0.0005447268486022949,0.3173210024833679,0.06759405881166458,1.4345133304595947,0.31450217962265015,0.09319108724594116,1.5653595924377441,42.0
0,0,0,OUT,0.4,OP,-0.02717682719230652,-0.02805081009864807,0.0008739829063415527,0.27567946910858154,0.3040066957473755,0.0,0.0,0.0,0.0,
0,0,0,OUT,0.4,GL_ORIG64,-0.035429924726486206,-0.03608983755111694,0.0006599128246307373,0.31751978397369385,0.07065703719854355,0.6435455083847046,0.30823686718940735,0.09187620133161545,0.7049677968025208,
0,0,0,OUT,0.4,GL_RAND64,-0.03575552999973297,-0.03630642592906952,0.0005508959293365479,0.31845614314079285,0.06765349954366684,1.4345797300338745,0.31481605768203735,0.09332723170518875,1.5664784908294678,42.0
0,0,0,OUT,0.6,OP,-0.02717682719230652,-0.02805626392364502,0.000879436731338501,0.27710333466529846,0.30432361364364624,0.0,0.0,0.0,0.0,
0,0,0,OUT,0.6,GL_ORIG64,-0.035429924726486206,-0.03573952615261078,0.00030960142612457275,0.3188836872577667,0.07045983523130417,0.6439903974533081,0.30871573090553284,0.0913383960723877,0.6989526748657227,
0,0,0,OUT,0.6,GL_RAND64,-0.03575552999973297,-0.03589524328708649,0.00013971328735351562,0.3197857439517975,0.06755871325731277,1.4332497119903564,0.3152683973312378,0.09269159287214279,1.5663622617721558,42.0
0,0,0,OUT,0.8,OP,-0.02717682719230652,-0.023415401577949524,-0.0037614256143569946,0.31516119837760925,0.30248305201530457,0.0,0.0,0.0,0.0,
0,0,0,OUT,0.8,GL_ORIG64,-0.035429924726486206,-0.03012169897556305,-0.005308225750923157,0.35520368814468384,0.07029339671134949,0.6404509544372559,0.30655956268310547,0.09122195094823837,0.6724440455436707,
0,0,0,OUT,0.8,GL_RAND64,-0.03575552999973297,-0.0302770733833313,-0.005478456616401672,0.3559657633304596,0.06762916594743729,1.4372462034225464,0.3128025233745575,0.09232862293720245,1.5665390491485596,42.0
0,0,0,IN,0.1,OP,-0.02717682719230652,0.048649758100509644,0.07582658529281616,0.13467976450920105,0.21096868813037872,0.0,0.0,0.0,0.0,
0,0,0,IN,0.1,GL_ORIG64,-0.035429924726486206,0.04857785999774933,0.08400778472423553,0.07975098490715027,0.08791713416576385,0.5069397687911987,0.18840710818767548,0.10198186337947845,0.6176009178161621,
0,0,0,IN,0.1,GL_RAND64,-0.03575552999973297,0.04854094982147217,0.08429647982120514,0.0943693071603775,0.09509352594614029,1.4616868495941162,0.20093940198421478,0.12068512290716171,1.5694308280944824,42.0
0,0,0,IN,0.2,OP,-0.02717682719230652,0.04894322156906128,0.0761200487613678,0.1255868524312973,0.20299704372882843,0.0,0.0,0.0,0.0,
0,0,0,IN,0.2,GL_ORIG64,-0.035429924726486206,0.04886747896671295,0.08429740369319916,0.07506392896175385,0.08572536706924438,0.4911184012889862,0.17958670854568481,0.0932835042476654,0.6472581624984741,
0,0,0,IN,0.2,GL_RAND64,-0.03575552999973297,0.04882758855819702,0.08458311855792999,0.09027068316936493,0.09279598295688629,1.456557035446167,0.19244208931922913,0.11257084459066391,1.567713975906372,42.0
0,0,0,IN,0.4,OP,-0.02717682719230652,0.049978241324424744,0.07715506851673126,0.10695679485797882,0.18361139297485352,0.0,0.0,0.0,0.0,
0,0,0,IN,0.4,GL_ORIG64,-0.035429924726486206,0.049763962626457214,0.08519388735294342,0.0699823796749115,0.057034097611904144,0.4692063331604004,0.1715492308139801,0.0841178447008133,0.6615701913833618,
0,0,0,IN,0.4,GL_RAND64,-0.03575552999973297,0.049688294529914856,0.08544382452964783,0.07513133436441422,0.06639937311410904,1.4095720052719116,0.18438617885112762,0.09300082176923752,1.5672575235366821,42.0
0,0,0,IN,0.6,OP,-0.02717682719230652,0.05057282745838165,0.07774965465068817,0.17475901544094086,0.2186852991580963,0.0,0.0,0.0,0.0,
0,0,0,IN,0.6,GL_ORIG64,-0.035429924726486206,0.05002744495868683,0.08545736968517303,0.19577603042125702,0.08051320910453796,0.530411422252655,0.19847175478935242,0.12277977913618088,0.6524072289466858,
0,0,0,IN,0.6,GL_RAND64,-0.03575552999973297,0.04986561834812164,0.08562114834785461,0.2003810852766037,0.07411414384841919,1.547972559928894,0.21056801080703735,0.12973958253860474,1.5686452388763428,42.0
0,0,0,IN,0.8,OP,-0.02717682719230652,0.04750901460647583,0.07468584179878235,0.35818278789520264,0.3353518545627594,0.0,0.0,0.0,0.0,
0,0,0,IN,0.8,GL_ORIG64,-0.035429924726486206,0.0456923246383667,0.0811222493648529,0.379626989364624,0.0825207456946373,0.6838003396987915,0.34241798520088196,0.1415589600801468,0.6338779926300049,
0,0,0,IN,0.8,GL_RAND64,-0.03575552999973297,0.045562222599983215,0.08131775259971619,0.38077548146247864,0.07226987928152084,1.340213656425476,0.35304176807403564,0.14419154822826385,1.5705397129058838,42.0
1,1,0,OUT,0.1,OP,0.04159186780452728,0.041498661041259766,9.320676326751709e-05,0.020802084356546402,0.0575050488114357,0.0,0.0,0.0,0.0,
1,1,0,OUT,0.1,GL_ORIG64,0.04146873950958252,0.04139015078544617,7.858872413635254e-05,0.01664474792778492,0.02324402518570423,0.16615541279315948,0.04982317239046097,0.01939241588115692,0.6216174364089966,
1,1,0,OUT,0.1,GL_RAND64,0.04124915599822998,0.04118047654628754,6.867945194244385e-05,0.03258157894015312,0.04475691542029381,1.323773980140686,0.06333687901496887,0.03531214967370033,1.5716396570205688,43.0
1,1,0,OUT,0.2,OP,0.04159186780452728,0.041393354535102844,0.00019851326942443848,0.02058841846883297,0.054124560207128525,0.0,0.0,0.0,0.0,
