comparison,direction,N,mean_delta_AUC,median_delta_AUC,CI95_low,CI95_high,positive,negative,p_sign_flip_raw,p_sign_test,p_sign_flip_Holm
OP_vs_GL_ORIG64,IN,40,-0.0004648292902857048,-0.0003381293267011717,-0.001615612438414244,0.0006773485250305403,15,25,0.4231788410579471,0.1538599441628321,0.7501624918754062
OP_vs_GL_ORIG64,OUT,40,-0.0011875066161155731,7.796622812747747e-05,-0.001977792722638697,-0.000454053676221528,25,15,0.0035498225088745564,0.1538599441628321,0.01064946752662367
OP_vs_GL_RAND64,IN,40,-0.0005558416526764635,-0.0005424585193395583,-0.0017878372587729267,0.0006733073028735798,15,25,0.3750812459377031,0.1538599441628321,0.7501624918754062
OP_vs_GL_RAND64,OUT,40,-0.0016068448591977428,0.00010570622980595495,-0.00257548335427419,-0.0006926036453805992,25,15,0.0016999150042497876,0.1538599441628321,0.00679966001699915
