sample_id,direction,GL_ORIG64,GL_RAND64,OP,delta_AUC_OP_minus_GL_ORIG64,delta_AUC_OP_minus_GL_RAND64
0,IN,0.059087476134300224,0.05924706161022183,0.05365886539220807,-0.005428610742092152,-0.0055881962180137565
0,OUT,-0.00022547915577890518,-0.0003091059625149002,9.613409638403487e-05,0.00032161325216294005,0.00040524005889893506
1,IN,0.004793313890695535,0.004946261644363365,0.00470475554466245,-8.855834603308486e-05,-0.0002415060997009149
1,OUT,0.00016948953270909427,0.00016664490103719313,0.00019164159893987127,2.2152066230776994e-05,2.4996697902678142e-05
2,IN,0.030722671747207615,0.030830815434455837,0.026902107894420605,-0.00382056385278701,-0.003928707540035232
2,OUT,0.00025911703705786004,0.000230793654918645,0.00050046965479847,0.00024135261774060998,0.000269675999879825
3,IN,0.001996695995330775,0.0021111391484737053,0.00185671523213384,-0.00013998076319693496,-0.00025442391633986525
3,OUT,0.000450202822685215,0.00039908364415164,0.00052946507930751,7.9262256622295e-05,0.00013038143515587
4,IN,0.00029633790254589,0.00029467940330501,0.000270157307386355,-2.6180595159534987e-05,-2.4522095918654984e-05
4,OUT,0.000152823328971815,0.00015275701880452,0.00019224956631655503,3.942623734474004e-05,3.9492547512035025e-05
5,IN,0.09309577196836469,0.09420056641101836,0.0921822614967823,-0.0009135104715823905,-0.0020183049142360604
5,OUT,-0.0014228042215108452,-0.0014615062624215704,-0.0011407863348722282,0.000282017886638617,0.00032071992754934215
6,IN,-0.06631721593439577,-0.06636633202433584,-0.062072859331965415,0.004244356602430353,0.0042934726923704244
6,OUT,0.16802535131573676,0.17007542848587037,0.16459606178104874,-0.003429289534688018,-0.005479366704821631
7,IN,-0.15309580154716967,-0.15354889780282976,-0.14699397459626196,0.006101826950907718,0.006554923206567809
7,OUT,0.2113500937819481,0.21278647854924204,0.20751518160104754,-0.003834912180900568,-0.005271296948194504
8,IN,0.08268764615058896,0.08289033472537993,0.07865477874875067,-0.004032867401838294,-0.0042355559766292655
8,OUT,-0.0025692470371723106,-0.0026051715016364853,-0.00210651680827139,0.0004627302289009205,0.0004986546933650952
9,IN,0.0015361472964286501,0.001560793817043255,0.0013745993375777802,-0.00016154795885086996,-0.0001861944794654749
9,OUT,0.0008000329136848163,0.0007789634168147843,0.0009929016232490299,0.0001928687095642136,0.00021393820643424556
10,IN,0.0379415079951286,0.03826597258448598,0.03303755968809123,-0.004903948307037366,-0.005228412896394752
10,OUT,-6.759986281395827e-05,-0.00011082366108895346,6.708428263661496e-05,0.00013468414545057323,0.0001779079437255684
11,IN,0.0367661707103252,0.03697216957807538,0.0333025276660919,-0.0034636430442333,-0.003669641911983476
11,OUT,-0.0009502045810222302,-0.0009516902267932703,-0.0007177621126174686,0.00023244246840476161,0.00023392811417580173
12,IN,0.031461234390735594,0.03158601671457288,0.027564512193202946,-0.0038967221975326483,-0.0040215045213699355
12,OUT,-0.0072078555822372,-0.00729886665940281,-0.006013079732656445,0.001194775849580755,0.0012857869267463651
13,IN,0.0781672768294811,0.07845196723937986,0.06970951482653616,-0.008457762002944944,-0.008742452412843701
13,OUT,-0.002196149155497566,-0.002245734259486206,-0.0012345764786005106,0.0009615726768970553,0.0010111577808856955
14,IN,-0.06358559206128116,-0.06389202475547788,-0.0622965559363365,0.0012890361249446591,0.0015954688191413824
14,OUT,0.21568429619073864,0.21624872833490372,0.21199615187942983,-0.0036881443113088164,-0.004252576455473889
15,IN,-0.07028106451034544,-0.07053807191550727,-0.06667464300990102,0.0036064215004444206,0.0038634289056062587
15,OUT,0.19585692025721074,0.19673955142498017,0.19058414809405805,-0.005272772163152695,-0.006155403330922127
16,IN,0.06348568797111506,0.06426663771271703,0.05958875492215152,-0.00389693304896354,-0.004677882790565503
16,OUT,-0.014014077559113457,-0.014038033038377726,-0.011766610294580444,0.002247467264533013,0.002271422743797283
17,IN,-0.03758923709392543,-0.037677355855703316,-0.0349192567169666,0.0026699803769588276,0.0027580991387367165
17,OUT,0.08851612955331799,0.08911993429064752,0.08558049537241458,-0.0029356341809034098,-0.00353943891823294
18,IN,0.029753155261278114,0.02990103662014005,0.02650741487741468,-0.0032457403838634345,-0.0033936217427253702
18,OUT,-0.0003523029386997334,-0.0004273764789104319,6.120726466177104e-05,0.00041351020336150447,0.000488583743572203
19,IN,0.016743809729814485,0.0170105621218681,0.014672580361366237,-0.0020712293684482484,-0.0023379817605018623
19,OUT,-0.0009160548448562695,-0.0009890057146549054,-0.00032122731208805017,0.0005948275327682193,0.0006677784025668552
20,IN,-0.07337648496031758,-0.0737128116190433,-0.06823341250419612,0.005143072456121459,0.005479399114847183
20,OUT,0.1432464815676212,0.14428021125495433,0.13885734044015408,-0.004389141127467133,-0.005422870814800251
21,IN,-0.04732743129134176,-0.047628068551421134,-0.04560634344816205,0.0017210878431797097,0.002021725103259084
21,OUT,0.16891506649553775,0.16947689875960348,0.16500662453472614,-0.0039084419608116094,-0.004470274224877335
22,IN,-0.0203443884849548,-0.020466328412294347,-0.01940230354666709,0.0009420849382877107,0.0010640248656272576
22,OUT,0.12852619290351866,0.13187374509871005,0.12557907328009602,-0.002947119623422645,-0.006294671818614039
23,IN,-0.07529091201722618,-0.07589036785066126,-0.07264183871448036,0.0026490733027458163,0.0032485291361809
23,OUT,0.2015288107097149,0.20249449610710146,0.19684954136610033,-0.004679269343614567,-0.005644954741001129
24,IN,-0.08820143938064574,-0.08856630101799964,-0.08299257643520831,0.005208862945437431,0.005573724582791331
24,OUT,0.22181778997182844,0.2238218083977699,0.21727052479982378,-0.004547265172004655,-0.006551283597946128
25,IN,-0.037675669789314255,-0.03789048418402669,-0.035405193269252754,0.0022704765200615012,0.0024852909147739383
25,OUT,0.08523335866630075,0.08541602008044719,0.08046580404043197,-0.004767554625868781,-0.004950216040015221
26,IN,0.04049173071980475,0.040744070708751634,0.03488728851079938,-0.00560444220900537,-0.005856782197952257
26,OUT,-0.004265106469392776,-0.00447956919670104,-0.003190957754850376,0.0010741487145423997,0.001288611441850664
27,IN,0.048584327846765474,0.04922938868403434,0.04125110208988187,-0.007333225756883603,-0.007978286594152471
27,OUT,-0.009087283909320804,-0.009191959351301161,-0.006870254874229396,0.0022170290350914086,0.0023217044770717657
28,IN,0.03076628297567365,0.030783899873495075,0.028158751875162084,-0.002607531100511564,-0.0026251479983329905
28,OUT,0.00030514448881143505,0.00030078813433644005,0.000331609696149785,2.646520733834998e-05,3.082156181334497e-05
29,IN,0.07761560082435606,0.07838752195239065,0.07391218394041058,-0.0037034168839454873,-0.004475338011980079
29,OUT,-0.01810158044099803,-0.018116863816976508,-0.015792489051818823,0.0023090913891792055,0.0023243747651576843
30,IN,0.048043937236070616,0.04876049607992171,0.04523154795169827,-0.0028123892843723436,-0.003528948128223436
